"species","decimalLongitude","decimalLatitude"
"Hydrochoerus hydrochaeris",-45.237593,-21.672781
"Hydrochoerus hydrochaeris",-45.979544,-15.98875
"Hydrochoerus hydrochaeris",-49.30723,-25.426265
"Hydrochoerus hydrochaeris",-43.927032,-19.654363
"Hydrochoerus hydrochaeris",-49.334928,-25.47978
"Hydrochoerus hydrochaeris",-47.626556,-22.708168
"Hydrochoerus hydrochaeris",-47.453166,-21.95105
"Hydrochoerus hydrochaeris",-47.456659,-21.951976
"Hydrochoerus hydrochaeris",-43.269329,-22.26769
"Hydrochoerus hydrochaeris",-43.91126,-19.646326
"Hydrochoerus hydrochaeris",-43.419553,-20.235843
"Hydrochoerus hydrochaeris",-51.230487,-30.047377
"Hydrochoerus hydrochaeris",-47.876774,-21.986136
"Hydrochoerus hydrochaeris",-51.23077,-30.046755
"Hydrochoerus hydrochaeris",-46.856057,-23.660829
"Hydrochoerus hydrochaeris",-49.358167,-25.447295
"Hydrochoerus hydrochaeris",-47.663571,-22.726936
"Hydrochoerus hydrochaeris",-46.52244,-23.488058
"Hydrochoerus hydrochaeris",-46.736344,-23.830216
"Hydrochoerus hydrochaeris",-49.30723,-25.426265
"Hydrochoerus hydrochaeris",-43.994315,-19.845295
"Hydrochoerus hydrochaeris",-49.358223,-25.447311
"Hydrochoerus hydrochaeris",-49.285893,-25.379319
"Hydrochoerus hydrochaeris",-34.945271,-8.016251
"Hydrochoerus hydrochaeris",-47.872863,-15.734045
"Hydrochoerus hydrochaeris",-49.266748,-25.382728
"Hydrochoerus hydrochaeris",-49.222977,-25.525654
"Hydrochoerus hydrochaeris",-46.856422,-23.660839
"Hydrochoerus hydrochaeris",-46.723183,-23.740364
"Hydrochoerus hydrochaeris",-46.467355,-23.573075
"Hydrochoerus hydrochaeris",-49.308499,-25.419598
"Hydrochoerus hydrochaeris",-35.770274,-8.239959
"Hydrochoerus hydrochaeris",-46.856594,-23.66075
"Hydrochoerus hydrochaeris",-46.467156,-23.666816
"Hydrochoerus hydrochaeris",-43.423621,-22.999117
"Hydrochoerus hydrochaeris",-47.854523,-15.818381
"Hydrochoerus hydrochaeris",-46.835245,-23.111733
"Hydrochoerus hydrochaeris",-47.86512,-15.818871
"Hydrochoerus hydrochaeris",-43.985858,-19.628208
"Hydrochoerus hydrochaeris",-49.266628,-25.38277
